driver_number,lap_number,lap_time_seconds,duration_sector_1,duration_sector_2,duration_sector_3,is_pit_out_lap,lap_time_formatted
23,16,98.384,28.494,42.245,27.645,false,1:38.384
10,20,98.447,28.873,41.641,27.933,false,1:38.447
24,22,100.806,29.42,42.766,28.62,false,1:40.805
16,22,98.639,28.045,42.2,28.394,false,1:38.638
55,21,98.686,28.842,41.907,27.937,false,1:38.686
77,22,95.722,28.048,40.554,27.12,false,1:35.721
1,19,99.028,29.052,42.282,27.694,false,1:39.028
44,18,99.124,29.127,41.896,28.101,false,1:39.123
14,25,97.544,28.749,41.356,27.439,false,1:37.543
4,21,98.086,28.533,41.766,27.787,false,1:38.085
22,22,99.438,29.1,42.51,27.828,false,1:39.438
63,22,99.407,29.042,42.383,27.982,false,1:39.406
40,24,100.047,29.378,42.717,27.952,false,1:40.046
18,22,99.233,28.854,42.648,27.731,false,1:39.233
2,21,102.489,29.639,44.28,28.57,false,1:42.489
81,19,99.069,28.705,42.598,27.766,false,1:39.069
27,20,104.0,31.92,43.589,28.491,false,1:44.000
31,21,99.809,29.319,42.419,28.071,false,1:39.808
20,21,101.164,29.431,43.263,28.47,false,1:41.164
11,20,99.044,29.053,42.091,27.9,false,1:39.043
23,17,98.983,28.583,42.712,27.688,false,1:38.983
10,21,98.748,28.886,41.889,27.973,false,1:38.748
24,23,102.206,30.246,43.377,28.583,false,1:42.206
16,23,97.417,28.553,41.417,27.447,false,1:37.417
55,22,98.512,28.686,42.089,27.737,false,1:38.512
77,23,114.516,34.306,44.961,35.249,false,1:54.516
1,20,99.256,28.966,42.413,27.877,false,1:39.256
44,19,98.864,28.931,42.001,27.932,false,1:38.864
14,26,97.383,28.437,41.365,27.581,false,1:37.382
4,22,99.06,28.722,42.652,27.686,false,1:39.060
22,23,102.472,29.062,44.987,28.423,false,1:42.471
63,23,99.036,28.899,42.253,27.884,false,1:39.036
40,25,99.515,29.246,42.26,28.009,false,1:39.515
18,23,99.382,29.02,42.635,27.727,false,1:39.382
81,20,99.54,28.92,42.783,27.837,false,1:39.540
2,22,100.709,29.412,42.923,28.374,false,1:40.709
31,22,100.836,29.912,42.666,28.258,false,1:40.835
27,21,107.981,29.286,42.851,35.844,false,1:47.980
20,22,110.711,29.539,44.561,36.611,false,1:50.710
11,21,132.487,29.205,53.899,49.383,false,2:12.486
23,18,135.761,28.775,55.133,51.853,false,2:15.760
10,22,138.597,35.577,54.068,48.952,false,2:18.597
16,24,141.548,36.085,57.24,48.223,false,2:21.548
24,24,142.562,34.626,55.054,52.882,false,2:22.562
55,23,136.889,34.049,55.419,47.421,false,2:16.889
1,21,132.724,32.714,48.787,51.223,false,2:12.723
44,20,135.332,38.783,51.976,44.573,false,2:15.331
77,24,132.511,36.837,52.239,43.435,false,2:12.510
14,27,130.097,38.381,51.119,40.597,false,2:10.097
4,23,125.422,33.644,49.936,41.842,false,2:05.421
22,24,121.758,34.517,50.085,37.156,false,2:01.757
